0,1000000000,1500000000,2000000000,2500000000,3000000000
2,8.008176,11.902170,16.018982,19.781312,23.861956,
4,4.162119,6.308341,8.701229,11.057854,13.341396,
8,2.867541,4.278540,5.676675,6.985953,8.471133,
16,1.800573,2.747049,3.641223,4.519100,5.462158,
32,1.724729,2.553405,3.300857,4.092879,4.914709,
2,7.954934,11.979550,15.923866,19.881389,23.971992,
4,4.146123,6.275290,8.730581,11.058437,13.321833,
8,2.913764,4.287477,5.701887,7.083239,8.459601,
16,1.816527,2.735132,3.666586,4.558099,5.448232,
32,1.694550,2.544208,3.316600,4.128086,4.884025,
2,7.984411,12.004083,15.831827,19.964859,23.819673,
4,4.141595,6.399033,8.566101,11.165193,13.240339,
8,2.860953,4.222186,5.645918,7.109678,8.434083,
16,1.820373,2.718272,3.648166,4.575874,5.436610,
32,1.737455,2.537373,3.290085,4.182690,4.903440,
2,7.948785,11.960502,15.957365,19.939896,24.031572,
4,4.163947,6.255204,8.624121,11.098178,13.324520,
8,2.832582,4.251079,5.602955,7.075870,8.459310,
16,1.804958,2.759292,3.635697,4.557950,5.493637,
32,1.691777,2.530588,3.362114,4.144049,4.905750,
2,7.975130,11.930280,15.925487,19.969929,23.901732,
4,4.168815,6.289727,8.640010,11.100182,13.269774,
8,2.901126,4.201216,5.643373,7.070114,8.451422,
16,1.829249,2.740589,3.624152,4.572130,5.469068,
32,1.740320,2.545447,3.307620,4.133344,4.934402,
2,7.973446,11.988519,15.964906,20.009792,23.947875,
4,4.180517,6.314230,8.575785,11.123693,13.237043,
8,2.883841,4.292128,5.670553,7.072013,8.383778,
16,1.808068,2.745532,3.645460,4.549554,5.464506,
32,1.692680,2.581620,3.470269,4.113457,4.852399,
2,7.936307,11.933147,15.985430,19.887468,23.937492,
4,4.148140,6.238307,8.730796,11.012636,13.160308,
8,2.834633,4.261332,5.785995,6.997859,8.514568,
16,1.830359,2.748163,3.610295,4.549773,5.468746,
32,1.714926,2.530586,3.332739,4.153172,4.910509,
2,7.958368,11.985342,15.910097,19.999764,24.035475,
4,4.158257,6.311765,8.644119,11.111491,13.340073,
8,2.857479,4.321429,5.675641,7.125459,8.474383,
16,1.820528,2.728591,3.644506,4.581813,5.475462,
32,1.745505,2.517904,3.357267,4.200853,4.997647,
2,8.029555,12.076962,15.983848,19.942922,23.989174,
4,4.176599,6.213507,8.676976,11.095522,13.273549,
8,2.859549,4.251502,5.693871,7.105998,8.550609,
16,1.799564,2.732378,3.640477,4.550279,5.457681,
32,1.755602,2.552733,3.331589,4.124034,5.074060,
2,7.995546,11.984393,15.969300,19.958731,24.062651,
4,4.226567,6.278629,8.692599,11.133138,13.270717,
8,2.845153,4.246430,5.782491,7.101237,8.528760,
16,1.812170,2.722725,3.653805,4.556015,5.487524,
32,1.724189,2.548982,3.265155,4.156580,5.138561,
2,7.974674,11.947934,15.981223,19.931146,23.992878,
4,4.160963,6.410002,8.600249,11.140684,13.310784,
8,2.848301,4.313372,5.724352,7.117439,8.543630,
16,1.811488,2.738131,3.632571,4.588729,5.455477,
32,1.687229,2.562896,3.379344,4.161869,4.981187,
2,8.007557,12.046453,15.984385,20.041139,24.062469,
4,4.214774,6.373826,8.785183,11.090094,13.421176,
8,2.898932,4.356500,5.668485,7.200888,8.418608,
16,1.812648,2.728420,3.673373,4.542635,5.447649,
32,1.798441,2.581225,3.384332,4.087465,5.000481,
2,7.956016,11.949923,15.942485,20.016790,23.867212,
4,4.262082,6.259474,8.669083,11.144221,13.298977,
8,2.907672,4.306570,5.711670,7.023454,8.615975,
16,1.790872,2.712679,3.642609,4.593842,5.449833,
32,1.733803,2.558726,3.432802,4.144319,4.931782,
2,7.975069,12.068845,16.051723,20.044141,24.029421,
4,4.211941,6.387035,8.741446,11.109301,13.348589,
8,2.822644,4.300803,5.658852,7.030678,8.428620,
16,1.795061,2.777399,3.668015,4.556460,5.468591,
32,1.731540,2.502821,3.275978,4.167783,4.940366,
2,8.002575,12.013181,15.954212,19.956460,23.936061,
4,4.218753,6.336349,8.629192,11.067564,13.404277,
8,2.845922,4.243365,5.714957,7.037194,8.487754,
16,1.817054,2.723858,3.649733,4.558853,5.436499,
32,1.733972,2.471163,3.336390,4.113180,4.945352,
2,8.036382,12.079916,16.013017,19.965958,23.988955,
4,4.158503,6.342516,8.676432,11.182773,13.318119,
8,2.861601,4.264953,5.718219,7.120765,8.478399,
16,1.804773,2.740784,3.654126,4.554333,5.473500,
