0,1000000000,1500000000,2000000000,2500000000,3000000000
2,1.135161,1.698534,2.389872,2.804902,3.390018,
4,0.608258,0.872415,1.215514,1.508309,1.737436,
8,0.397349,0.550201,0.792709,0.908260,1.104593,
16,0.248264,0.372771,0.495385,0.610242,0.740615,
32,0.225736,0.320249,0.417757,0.524481,0.635899,
2,1.149227,1.688302,2.242256,2.802507,3.372229,
4,0.594306,0.883366,1.250942,1.492194,1.824916,
8,0.382029,0.608005,0.779685,0.956944,1.056674,
16,0.245537,0.369176,0.489086,0.622087,0.731164,
32,0.209229,0.319440,0.422592,0.536181,0.637634,
2,1.125335,1.679425,2.233210,2.809370,3.382678,
4,0.621726,0.879077,1.192471,1.454359,1.789617,
8,0.409296,0.562001,0.733488,1.020403,1.179219,
16,0.249020,0.367238,0.481781,0.615630,0.729315,
32,0.218451,0.316216,0.443381,0.533213,0.667577,
2,1.168074,1.686600,2.238055,2.831997,3.371149,
4,0.642553,0.894669,1.243568,1.474609,1.729646,
8,0.433233,0.593126,0.771292,0.981787,1.171306,
16,0.246267,0.372839,0.501650,0.622623,0.743482,
32,0.207002,0.341461,0.452968,0.539614,0.655650,
2,1.123937,1.671032,2.253638,2.816067,3.352636,
4,0.615428,0.901210,1.187854,1.494460,1.827476,
8,0.384204,0.535887,0.786736,0.925499,1.132290,
16,0.251060,0.380843,0.499357,0.614287,0.746042,
32,0.221571,0.321907,0.468025,0.578501,0.692094,
2,1.128957,1.679323,2.248952,2.819611,3.367913,
4,0.587662,0.876391,1.223087,1.434376,1.777491,
8,0.334719,0.570328,0.734662,0.954774,1.174561,
16,0.245258,0.369970,0.500701,0.627426,0.740975,
32,0.219721,0.335546,0.457732,0.584376,0.643075,
2,1.110181,1.678859,2.246725,2.810038,3.361483,
4,0.573110,0.932144,1.162831,1.503993,1.770853,
8,0.400827,0.603284,0.713833,0.962553,1.127730,
16,0.253578,0.367000,0.492959,0.613989,0.746759,
32,0.215416,0.322591,0.430086,0.546140,0.660829,
2,1.106002,1.688639,2.253134,2.823075,3.353939,
4,0.584187,0.904221,1.205469,1.456170,1.737233,
8,0.372629,0.584744,0.742225,0.938194,1.106141,
16,0.245060,0.378448,0.501260,0.617601,0.746021,
32,0.219472,0.320332,0.436299,0.544082,0.674694,
2,1.125759,1.680960,2.236371,2.821298,3.383391,
4,0.577171,0.893131,1.287053,1.469568,1.829357,
8,0.406707,0.610483,0.734516,1.006070,1.142848,
16,0.252280,0.369322,0.509671,0.623510,0.748141,
32,0.226429,0.331317,0.429771,0.546022,0.665451,
2,1.123601,1.678620,2.239935,2.817018,3.366313,
4,0.686803,0.880827,1.193762,1.489611,1.825360,
8,0.425669,0.594290,0.762370,0.976029,1.071761,
16,0.248200,0.372523,0.497099,0.623455,0.726770,
32,0.216457,0.337929,0.449790,0.518526,0.658360,
2,1.128140,1.686067,2.228001,2.807521,3.361952,
4,0.578493,0.882812,1.269465,1.501688,1.840815,
8,0.407376,0.605367,0.754182,0.939595,1.153359,
16,0.247228,0.379557,0.490516,0.626506,0.753187,
32,0.215311,0.329499,0.458225,0.549590,0.678374,
2,1.127248,1.680213,2.247848,2.798478,3.370925,
4,0.598408,0.980411,1.211041,1.480967,1.739723,
8,0.380260,0.600058,0.747197,0.925945,1.178986,
16,0.244579,0.378655,0.504029,0.625630,0.744190,
32,0.233856,0.332003,0.457830,0.543886,0.687511,
2,1.132744,1.684169,2.243894,2.791703,3.354482,
4,0.630482,0.872095,1.218926,1.483013,1.766224,
8,0.389455,0.533643,0.771110,0.947897,1.093811,
16,0.249412,0.374801,0.499521,0.616469,0.750347,
32,0.222864,0.328965,0.443694,0.549040,0.647529,
2,1.154331,1.664975,2.257888,2.804883,3.341511,
4,0.584540,0.949709,1.297693,1.529571,1.866576,
8,0.411556,0.588508,0.805774,0.990050,1.183627,
16,0.245763,0.370587,0.501164,0.627700,0.744646,
32,0.219590,0.336700,0.448848,0.541890,0.652870,
2,1.119304,1.744923,2.240612,2.851536,3.364415,
4,0.637699,0.881960,1.200685,1.505401,1.780385,
8,0.409946,0.575121,0.758541,0.997792,1.164894,
16,0.246107,0.371737,0.492205,0.615519,0.732578,
32,0.214232,0.333423,0.425842,0.563300,0.652610,
2,1.119001,1.730248,2.297623,2.791819,3.376967,
4,0.595365,0.946342,1.213036,1.463354,1.728011,
8,0.387063,0.597510,0.806372,1.027807,1.184503,
16,0.249548,0.375504,0.502056,0.617213,0.747485,
32,0.215407,0.333475,0.419338,0.566595,0.662933,
2,1.141370,1.676874,2.286586,2.845963,3.363491,
4,0.577567,0.887291,1.147715,1.490313,1.805630,
8,0.415330,0.616127,0.761061,1.008454,1.153993,
16,0.244076,0.375538,0.503537,0.628488,0.747935,
32,0.211973,0.327826,0.434736,0.554273,0.648009,
2,1.119125,1.692138,2.244144,2.795753,3.367907,
4,0.637381,0.881469,1.191009,1.549014,1.808844,
8,0.361441,0.575364,0.810717,0.972346,1.156421,
16,0.248126,0.379937,0.499016,0.625160,0.743646,
32,0.219316,0.325743,0.465967,0.577802,0.663883,
2,1.111164,1.676323,2.243300,2.806155,3.355803,
4,0.604892,0.892469,1.281945,1.488422,1.810265,
8,0.345879,0.562251,0.772077,0.934553,1.235446,
16,0.247675,0.369779,0.501965,0.618770,0.763689,
32,0.215308,0.321364,0.439315,0.565688,0.649449,
2,1.144300,1.704148,2.260420,2.805141,3.363471,
4,0.604254,0.877595,1.228610,1.524582,1.787969,
8,0.409477,0.528166,0.751579,0.971050,1.145879,
16,0.253606,0.377488,0.499254,0.612460,0.742474,
32,0.228881,0.323058,0.449565,0.542697,0.686973,
2,1.120209,1.686766,2.259685,2.817298,3.363913,
4,0.591599,0.899988,1.170396,1.482832,1.770245,
8,0.417513,0.552899,0.770824,0.962096,1.165725,
16,0.251765,0.379548,0.496813,0.621436,0.742657,
32,0.228330,0.329718,0.427084,0.549838,0.692449,
2,1.135351,1.687595,2.274339,2.792322,3.385121,
4,0.584719,0.912347,1.240705,1.500014,1.825330,
8,0.409392,0.601147,0.799617,0.965919,1.182160,
16,0.252270,0.377319,0.492316,0.620540,0.736323,
32,0.210242,0.325228,0.426819,0.541083,0.667279,
2,1.112402,1.682876,2.247054,2.813634,3.353619,
4,0.598188,0.887438,1.188575,1.505869,1.807588,
8,0.389734,0.602364,0.780623,0.993522,1.194539,
16,0.252095,0.375775,0.497598,0.618950,0.741236,
32,0.211531,0.332744,0.452632,0.578425,0.665723,
2,1.127329,1.677613,2.234223,2.820270,3.364360,
4,0.631849,0.869204,1.203917,1.483824,1.802645,
8,0.402404,0.591591,0.792895,0.966490,1.172025,
16,0.252204,0.381414,0.494100,0.614594,0.757324,
32,0.218197,0.340217,0.432542,0.534595,0.670503,
2,1.135747,1.674990,2.231882,2.800087,3.359772,
4,0.653999,1.019287,1.246515,1.504751,1.779657,
8,0.390607,0.638169,0.790047,0.979927,1.187269,
16,0.248184,0.372097,0.495434,0.622414,0.751531,
32,0.227421,0.332512,0.440585,0.554756,0.659819,
2,1.112960,1.679321,2.242981,2.816773,3.370638,
4,0.611572,0.884223,1.156393,1.552982,1.750517,
8,0.378160,0.549550,0.739472,0.947615,1.129969,
16,0.255876,0.380145,0.503962,0.625902,0.755340,
32,0.213879,0.329496,0.438230,0.557382,0.670687,
2,1.113817,1.678174,2.241282,2.790065,3.401660,
4,0.572412,0.886338,1.166297,1.480789,1.758836,
8,0.382090,0.580730,0.777900,0.976976,1.091143,
16,0.246618,0.375711,0.507406,0.620245,0.741214,
32,0.218049,0.327667,0.443970,0.561565,0.651188,
2,1.112645,1.682740,2.272930,2.849883,3.394779,
4,0.576375,0.867115,1.237334,1.446169,1.722308,
8,0.409072,0.588808,0.798089,0.947569,1.042681,
16,0.247578,0.374155,0.493642,0.621926,0.753466,
32,0.225078,0.349098,0.446080,0.551548,0.642949,
2,1.109045,1.683258,2.254407,2.852557,3.381209,
4,0.575302,0.854561,1.153092,1.520373,1.749486,
8,0.382408,0.568991,0.791364,0.927886,1.198335,
16,0.249714,0.376333,0.502480,0.618085,0.744862,
32,0.232788,0.325780,0.447273,0.542729,0.665715,
2,1.129171,1.677611,2.246829,2.866682,3.340178,
4,0.597809,0.907628,1.171719,1.536792,1.757160,
8,0.358634,0.567949,0.753352,0.965992,1.135967,
